,F,I,H,H-tilde,H-tilde_std,N
CTNNBIP1,2.361117884809961e-05,0.07377049180327866,6.56791223505067,6.641682726853949,0.040983606557316664,122
LZIC,2.4578850112365987e-05,0.14173228346456668,6.598843938706599,6.740576222171166,0.02169202757611547,127
NMNAT1,7.3543016084244685e-06,0.25670756584640664,4.9122725791761255,5.168980145022532,0.07894736842107862,38
RBP7,7.625249562419055e-05,0.8711732858381591,7.008744519679986,7.879917805518145,0.0052231953061713954,394
UBE4B,2.148230206671358e-05,0.13751948204045394,6.449689177102445,6.587208659142899,0.009009009009103333,111
KIF1B,1.6837479998234968e-05,0.09781350579686077,6.149727691201292,6.247541196998153,0.011494252873793083,87
AL139424.3,7.741370114131019e-07,0.0,2.0,2.0,0.0,4
AL139424.2,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
PGD,0.00011012098987351376,0.6383786219702969,7.489202303092975,8.127580925063272,0.04665275919784348,569
CENPS,1.3547397699729284e-06,0.0,2.807354922057604,2.807354922057604,0.0,7
DFFA,2.2449973330979957e-05,0.08831993532617677,6.506645758039956,6.594965693366133,0.015128340535740381,116
PEX14,7.547835861277744e-06,0.07692307692307754,5.1315560650160945,5.208479141939172,0.025641025641041582,39
CASZ1,3.483616551358959e-06,0.22222222222222232,3.94770277922009,4.169925001442312,0.0,18
AL139423.1,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
C1orf127,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
TARDBP,3.541676827214942e-05,-0.006645364769205742,7.070978100659703,7.064332735890497,0.034620312740489274,183
MASP2,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
AL109811.3,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
SRM,5.496372781033024e-05,0.005418259680981308,7.579629503313713,7.585047762994694,0.056088539700606926,284
EXOSC10,1.8579288273914447e-05,0.058568294259564446,6.376629167387823,6.4351974616473875,0.01690162759294807,96
AL109811.2,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
MTOR,1.0644383906930151e-05,0.04768284088942387,5.672268804433751,5.7199516453231745,0.025044431837641202,55
UBIAD1,1.3547397699729285e-05,0.042857142857142705,5.929283016944966,5.972140159802109,0.014285714285702715,70
AL031731.1,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
FBXO2,2.5159452870925815e-06,0.30769230769230793,3.3927474104487843,3.700439718141092,0.0,13
FBXO44,9.096109884103948e-06,0.08510638297872397,5.3843760857201906,5.4694824686989145,0.0,47
FBXO6,1.6450411492528416e-05,0.21776205887443378,6.062217112557385,6.279979171431819,0.058823529411816115,85
MAD2L2,2.5933589882338915e-05,0.08246218458996157,6.624899522705804,6.707361707295766,0.0227606920526625,134
DRAXIN,7.741370114131019e-07,0.0,2.0,2.0,0.0,4
AGTRAP,0.00011515288044769892,0.5669529343501019,7.644341461796236,8.211294396146338,0.004688636749399492,595
C1orf167,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
MTHFR,3.4642631260736315e-05,0.26218363100645004,6.80857543402058,7.07075906502703,0.035907131207361054,179
CLCN6,1.0450849654076876e-05,0.18518518518518512,5.495628242904209,5.680813428089394,0.0,54
NPPA-AS1,1.5482740228262038e-06,0.0,3.0,3.0,0.0,8
KIAA2013,4.277106988057388e-05,0.07596087459411205,7.295622072877987,7.371582947472099,0.026550537315625112,221
PLOD1,1.1805589424049805e-05,0.10237889340715611,5.635655370349772,5.738034263756928,0.04918032786884357,61
MFN2,1.6063342986821865e-05,0.040692093386526906,6.197269702405196,6.237961795791723,0.016595707844411712,83
MIIP,3.096548045652408e-05,0.07613914992687576,6.875777607479524,6.9519167574064,0.07613914992692859,160
TNFRSF8,5.806027585598265e-06,0.16666666666666607,4.573557262275186,4.740223928941852,0.03333333333328265,30
TNFRSF1B,0.00021617776043710872,0.9091939599010175,7.7373101560560364,8.646504115957054,0.015303098355465838,1117
VPS13D,2.4191781606659436e-05,0.09509775004326926,6.627666984610164,6.722764734653433,0.01901955000866859,125
DHRS3,1.0257315401223602e-05,0.36810896234579094,5.322075643160804,5.6901846055065946,0.0,53
AC254633.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
PRDM2,8.76710165425338e-05,0.12151618187826596,7.905014096876099,8.026530278754365,0.016844508751299295,453
KAZN,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
TMEM51-AS1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
TMEM51,4.25775356277206e-06,0.1363636363636358,4.277613436819116,4.4139770731827515,0.045454545454588734,22
FHAD1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
AL031283.1,2.5159452870925815e-06,0.07692307692307665,3.5465935642949384,3.623516641218015,0.07692307692309011,13
EFHD2,0.0002690126114660529,0.62978066997049,8.072475312304366,8.702255982274856,0.01449049255494789,1390
CTRC,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
CASP9,9.289644136957223e-06,-0.08333333333333304,5.584962500721156,5.501629167387823,0.0,48
DNAJC16,1.0644383906930151e-05,0.054545454545454675,5.599541531706478,5.654086986251933,0.018181818181632278,55
AL121992.3,3.8706850570655096e-07,1.0,0.0,1.0,0.0,2
AGMAT,3.0965480456524077e-06,0.2971804688852169,3.702819531114783,4.0,0.0,16
AL121992.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
DDI2,2.2062904825273405e-05,0.3488985746562925,6.249299443875436,6.598198018531728,0.041709539492663705,114
AL121992.2,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
PLEKHM2,3.309435723791011e-05,0.08640021936150521,6.945373055707704,7.0317732750692095,0.007395687172128256,171
SLC25A34,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
FBLIM1,5.031890574185163e-06,0.038461538461538325,4.623516641218015,4.661978179679553,0.03846153846153928,26
UQCRHL,1.3547397699729284e-06,0.0,2.807354922057604,2.807354922057604,0.0,7
AL450998.2,2.186937057242013e-05,0.22791935842622557,6.304562480056866,6.532481838483092,0.015529977895087255,113
SPEN,6.502750895870057e-05,0.04248250965151268,7.716327291983794,7.758809801635307,0.048559426258518494,336
ZBTB17,1.1805589424049805e-05,-0.016393442622951504,5.832376681825182,5.815983239202231,0.0491803278689158,61
EPHA2,5.806027585598265e-07,0.6666666666666666,0.9182958340544894,1.584962500721156,0.0,3
ARHGEF19,4.644822068478612e-06,0.04166666666666696,4.501629167387823,4.54329583405449,0.04166666666657667,24
CPLANE2,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
FBXO42,1.8192219768207896e-05,0.11441369683152658,6.261931670780543,6.376345367612069,0.05058390959745207,94
SZRD1,3.8319782064948544e-05,0.09472165405133115,7.079387665586776,7.174109319638107,0.02451895440539646,198
NECAP2,7.373655033709796e-05,0.037925860884608475,7.835003675675574,7.872929536560182,0.03641909438921425,381
