,F,I,H,H-tilde,H-tilde_std,N
TRIM41,2.63E-05,0.101257858,6.694008613,6.795266471,0.066617673,136
YEATS4,1.65E-05,0.101240795,6.118156966,6.219397761,0.060577976,85
PPP1R12C,2.71E-05,0.101229642,6.741678285,6.842907927,0.063105112,140
FBRSL1,3.06E-05,0.101217823,6.871725922,6.972943745,0.057326291,158
MEX3C,1.88E-05,0.101182669,6.287906012,6.389088681,0.066765517,97
SCO1,2.23E-05,0.101123863,6.495362551,6.596486414,0.055891437,115
DYRK1A,4.32E-05,0.101107855,7.243483924,7.344591779,0.058393935,223
SLC35B3,1.14E-05,0.101024999,5.645354914,5.746379913,0.069884511,59
SLC12A7,1.92E-05,0.100931661,6.318701191,6.419632852,0.060535885,99
DNAJC2,4.16E-05,0.100925567,7.206780626,7.307706193,0.059959312,215
SNAPC4,5.23E-06,0.100922306,4.606739354,4.70766166,0.063361439,27
PHLPP1,2.71E-06,0.100889366,3.664497779,3.765387145,0.072873803,14
BAG6,5.34E-05,0.100820428,7.463548846,7.564369275,0.056859283,276
SMAD2,5.11E-05,0.10081011,7.412598712,7.513408822,0.05672544,264
ACTR5,4.84E-06,0.1008,4.48385619,4.58465619,0.056136975,25
SNHG25,2.86E-05,0.100792309,6.788746187,6.889538495,0.067425456,148
COL19A1,3.10E-06,0.100778195,3.875,3.975778195,0.059814016,16
MAGIX,3.10E-06,0.100778195,3.875,3.975778195,0.057142073,16
NOP53,0.00041455,0.100752336,8.700957442,8.801709778,0.02345295,2142
WWOX,7.93E-06,0.100717402,5.162430053,5.263147456,0.067667598,41
PLB1,6.77E-06,0.100711493,4.957854446,5.058565938,0.053195529,35
ZNF195,1.06E-05,0.100623923,5.563177895,5.663801818,0.07239184,55
ARID4A,6.75E-05,0.100612893,7.682878669,7.783491562,0.050148744,349
PPP1R12A,0.00012154,0.100608061,8.144375642,8.244983703,0.050621447,628
OXSR1,2.44E-05,0.100600394,6.606209388,6.706809782,0.063797833,126
LHPP,1.72E-05,0.100586832,6.1835986,6.284185432,0.05506344,89
TTC14,6.27E-05,0.100540737,7.615256929,7.715797666,0.052370642,324
ELK1,1.22E-05,0.100499347,5.74307536,5.843574707,0.059636203,63
LINC02019,4.84E-06,0.100498045,4.48385619,4.584354235,0.062139043,25
C4orf3,0.000161214,0.100494971,8.328456342,8.428951313,0.036557247,833
SLC39A6,1.61E-05,0.100491272,6.085882805,6.186374077,0.067776904,83
SKP2,8.52E-06,0.100440881,5.260456903,5.360897783,0.063909967,44
NIPA2,2.21E-05,0.100411079,6.47969122,6.580102299,0.064692698,114
DHX15,3.66E-05,0.100410685,7.066218054,7.166628739,0.051003752,189
ZBTB18,1.65E-05,0.100410186,6.123924318,6.224334505,0.065778416,85
ERICH1,7.72E-05,0.10039046,7.800984003,7.901374463,0.051524468,399
PEX19,9.68E-06,0.100380155,5.42875844,5.529138595,0.067636453,50
UBE3D,5.03E-06,0.100377096,4.546593564,4.64697066,0.061443505,26
WDR48,1.90E-05,0.100336877,6.292162492,6.39249937,0.060676306,98
CCDC107,5.23E-05,0.100334228,7.44009929,7.540433517,0.048694393,270
NCKAP5L,1.80E-05,0.100328887,6.229966472,6.330295359,0.061839409,93
TMEM38B,8.13E-06,0.100287146,5.201841232,5.302128378,0.065372073,42
ORMDL2,3.25E-05,0.100247855,6.945772482,7.046020337,0.061321811,168
PPP3CB,2.98E-05,0.100166003,6.831594658,6.931760661,0.057995229,154
ZNF664,1.14E-05,0.100152924,5.645354914,5.745507837,0.073092877,59
MAP2K5,9.29E-06,0.100149122,5.376629167,5.47677829,0.067639155,48
LAMTOR3,2.84E-05,0.100140162,6.783894008,6.884034171,0.06790799,147
AKAP8L,4.70E-05,0.100124615,7.339878489,7.440003105,0.051508795,243
UQCC2,2.98E-05,0.100115607,6.839031327,6.939146934,0.06742376,154
DEDD,1.70E-05,0.100049276,6.155398806,6.255448082,0.069068131,88
APOBEC3C,4.18E-05,0.100027083,7.214174597,7.31420168,0.061788815,216
MMP23B,4.84E-06,0.1,4.48385619,4.58385619,0.064373908,25
PRDM10,2.90E-06,0.1,3.773557262,3.873557262,0.060736224,15
ROBO3,2.90E-06,0.1,3.773557262,3.873557262,0.060736224,15
KBTBD6,2.90E-06,0.1,3.773557262,3.873557262,0.063595947,15
GGT1,2.90E-06,0.1,3.773557262,3.873557262,0.057735027,15
AC100786.1,2.90E-06,0.1,3.773557262,3.873557262,0.066332496,15
RBM38,5.21E-05,0.099944241,7.448700119,7.54864436,0.052191627,269
DNAJB2,2.65E-05,0.099928168,6.696429528,6.796357696,0.060571347,137
DCUN1D4,6.58E-06,0.099922158,4.910992253,5.010914411,0.071106493,34
TMEM87B,1.61E-05,0.09990325,6.085882805,6.185786055,0.069840022,83
SNX14,3.72E-05,0.099902144,7.091243816,7.19114596,0.061087964,192
PREP,1.22E-05,0.099852014,5.74307536,5.842927374,0.069049666,63
DOCK7,6.77E-06,0.099848764,4.957854446,5.05770321,0.062356445,35
SNHG12,4.97E-05,0.099831231,7.395531213,7.495362443,0.057197666,257
FEM1C,1.97E-05,0.099778383,6.351298994,6.451077377,0.059789906,102
NDUFS6,0.000130442,0.099762611,8.189361196,8.289123807,0.043722995,674
AGPS,2.21E-05,0.099745485,6.475391001,6.575136486,0.066842737,114
SRF,1.61E-05,0.09972606,6.085882805,6.185608865,0.06173412,83
C7orf31,5.23E-06,0.099720412,4.606739354,4.706459766,0.05233119,27
ZNF92,2.38E-05,0.099717487,6.572516335,6.672233822,0.060479846,123
UROD,2.44E-05,0.099709741,6.610100062,6.709809803,0.059036289,126
IPO13,4.84E-06,0.099698045,4.48385619,4.583554235,0.064294092,25
CDKN2C,4.84E-06,0.099698045,4.48385619,4.583554235,0.062271424,25
ZNF557,9.10E-06,0.099662133,5.341822894,5.441485027,0.065167643,47
RARA-AS1,1.01E-05,0.099643724,5.469670487,5.569314211,0.072154922,52
CDC16,2.19E-05,0.09959454,6.477215356,6.576809897,0.06207132,113
CEP57,4.34E-05,0.099516021,7.24423454,7.343750561,0.06343658,224
RAD1,1.92E-05,0.099511868,6.311076064,6.410587932,0.064312342,99
LSG1,1.99E-05,0.099506946,6.365922372,6.465429318,0.061594067,103
TP53RK,1.20E-05,0.099496972,5.716214254,5.815711226,0.067541228,62
NDUFA6,7.14E-05,0.099487139,7.72993988,7.829427019,0.047720028,369
MGAT4B,3.33E-05,0.099480673,6.962459885,7.061940558,0.062788917,172
CDC73,2.71E-05,0.099467979,6.732784624,6.832252603,0.061119759,140
MPHOSPH9,2.26E-05,0.099452441,6.515580318,6.615032759,0.067967052,117
SCML4,2.07E-05,0.099438851,6.40959993,6.509038781,0.059833041,107
ARMC1,2.67E-05,0.099412394,6.720772464,6.820184858,0.061364023,138
CPQ,3.48E-05,0.099386276,7.006940805,7.106327081,0.070523397,180
ZNF414,2.13E-05,0.09937416,6.433499145,6.532873305,0.063473396,110
NUP50-DT,8.13E-06,0.099334765,5.201841232,5.301175997,0.068860252,42
MBD3,2.73E-05,0.099332745,6.737925888,6.837258633,0.058197784,141
CHD8,3.77E-05,0.099301232,7.098180506,7.197481738,0.05962867,195
IARS2,3.74E-05,0.099300328,7.08839376,7.187694088,0.055407414,193
BNIP3,1.68E-05,0.09924397,6.144092921,6.243336891,0.068691142,87
SDHAF3,1.84E-05,0.099179796,6.267172582,6.366352378,0.062971059,95
MMD,8.52E-06,0.099137395,5.260456903,5.359594298,0.061103413,44
PPTC7,3.33E-05,0.099133989,6.966848766,7.065982755,0.058986469,172
ARL6IP5,0.000218307,0.099103123,8.484544908,8.583648031,0.03137834,1128
EIF1AX,0.000116895,0.099065764,8.130606405,8.229672169,0.047893584,604
LAMTOR5,0.000123862,0.099021593,8.156859669,8.255881261,0.041915219,640
ZNF692,7.93E-06,0.099014854,5.162430053,5.261444907,0.064366132,41
BARD1,8.32E-06,0.098946669,5.240218243,5.339164912,0.063608266,43
ANKRD36C,2.90E-05,0.098932526,6.803655774,6.902588299,0.052079236,150
ARHGAP11B,2.71E-06,0.098921589,3.664497779,3.763419368,0.091869052,14
STAMBPL1,4.84E-06,0.098898045,4.48385619,4.582754235,0.067559562,25
E2F5,4.84E-06,0.098898045,4.48385619,4.582754235,0.065637599,25
AP2B1,3.33E-05,0.098895872,6.962459885,7.061355757,0.061097633,172
GTF2H2,1.63E-05,0.098878591,6.103452393,6.202330984,0.071095638,84
AP3B1,4.28E-05,0.09879144,7.236887005,7.335678446,0.057351988,221
CELF2,0.000222951,0.098775175,8.489749125,8.5885243,0.033552781,1152
AF213884.3,3.10E-06,0.09875,3.875,3.97375,0.056720257,16
AC145285.6,3.10E-06,0.09875,3.875,3.97375,0.059411173,16
NAT14,3.10E-06,0.09875,3.875,3.97375,0.059411173,16
AC026401.3,6.77E-06,0.098705907,4.957854446,5.056560353,0.06639144,35
TOP1MT,1.26E-05,0.09866975,5.776213967,5.874883717,0.068176622,65
ZKSCAN4,2.90E-06,0.098666667,3.773557262,3.872223929,0.064277178,15
ANKS6,2.90E-06,0.098666667,3.773557262,3.872223929,0.061449166,15
VPS37A,1.55E-05,0.098630833,6.053055907,6.15168674,0.066378046,80
USPL1,1.12E-05,0.098603582,5.638069142,5.736672724,0.063653028,58
MGAT4A,5.24E-05,0.09859866,7.457435089,7.556033749,0.056817344,271
PRPF4,2.01E-05,0.098591726,6.378230343,6.476822069,0.064172714,104
RNASEH2C,6.17E-05,0.098563433,7.605791965,7.704355398,0.052942384,319
UTP14A,1.22E-05,0.098494714,5.74307536,5.841570074,0.067357259,63
CMTM8,6.00E-06,0.098459383,4.800812843,4.899272226,0.058593141,31
UBE2A,5.34E-05,0.098439787,7.473892154,7.572331941,0.055335584,276
DVL3,1.39E-05,0.098413536,5.909440453,6.007853989,0.06103712,72
DNAJA1,0.000335975,0.098381952,8.647757657,8.746139608,0.027052605,1736
MOV10,1.01E-05,0.098344139,5.479097891,5.577442031,0.075387178,52
RAB6A,3.83E-05,0.09831802,7.13420965,7.23252767,0.051841407,198
ELAC1,6.58E-06,0.098301636,4.910992253,5.009293889,0.064019218,34
NUAK2,1.57E-05,0.098293066,6.058925466,6.157218532,0.066228211,81
CCDC189,3.10E-06,0.098278195,3.875,3.973278195,0.058739743,16
2-Mar,2.69E-05,0.098256236,6.723116972,6.821373208,0.064077463,139
HSD11B1L,2.90E-06,0.098163408,3.773557262,3.871720671,0.071423051,15
ANKMY1,9.48E-06,0.098151296,5.410628211,5.508779507,0.063972886,49
ALAS1,1.57E-05,0.098144619,6.068245065,6.166389683,0.061187438,81
KLHL2,1.39E-05,0.097980284,5.909440453,6.007420737,0.070181361,72
MRPS10,3.52E-05,0.097953928,7.024063321,7.12201725,0.061124254,182
CSTF2T,1.05E-05,0.09790309,5.53266528,5.63056837,0.061968218,54
AL844908.1,5.03E-06,0.097880856,4.546593564,4.64447442,0.06722379,26
TBC1D19,5.03E-06,0.097880856,4.546593564,4.64447442,0.064529128,26
DDX58,1.34E-05,0.097871207,5.854759602,5.952630808,0.063903793,69
MORF4L1,0.000187341,0.097838078,8.410759801,8.508597879,0.038715313,968
FAAH,9.10E-06,0.097834454,5.341822894,5.439657348,0.078089677,47
TSPAN18,4.84E-06,0.09779609,4.48385619,4.58165228,0.069097561,25
FBXL16,4.84E-06,0.09779609,4.48385619,4.58165228,0.068518507,25
BORCS8,2.05E-05,0.097759287,6.404668921,6.502428209,0.064343376,106
EBNA1BP2,2.57E-05,0.09774693,6.667990894,6.765737824,0.056290627,133
MRPS11,2.98E-05,0.09770548,6.85201834,6.949723819,0.056451044,154
ATRIP,4.84E-06,0.097690225,4.48385619,4.581546415,0.073802669,25
SIPA1L1,2.57E-05,0.09759867,6.67461183,6.7722105,0.061831077,133
FRYL,4.16E-05,0.097589437,7.214267326,7.311856764,0.063497929,215
PTPN22,3.15E-05,0.097575896,6.894500547,6.992076443,0.058377422,163
SUMO2,0.000320686,0.09755556,8.628551157,8.726106717,0.026332341,1657
PKD1,1.66E-05,0.09750145,6.129639464,6.227140914,0.069962121,86
MICU3,3.10E-06,0.0975,3.875,3.9725,0.054715172,16
GGT7,4.84E-06,0.097494135,4.48385619,4.581350325,0.060351029,25
RELL2,6.58E-06,0.097491375,4.910992253,5.008483628,0.064888122,34
AKAP17A,6.33E-05,0.097429122,7.62738746,7.724816582,0.054701458,327
NELFCD,3.48E-05,0.09741528,7.02769268,7.12510796,0.058691946,180
AC132872.1,5.03E-06,0.097401966,4.546593564,4.643995531,0.062286147,26
IFT140,2.90E-06,0.097333333,3.773557262,3.870890596,0.070187052,15
PILRB,4.92E-05,0.097266453,7.382726407,7.47999286,0.060120599,254
AC064807.1,6.77E-06,0.097207304,4.957854446,5.055061749,0.064809476,35
EIPR1,1.63E-05,0.097168283,6.112439149,6.209607432,0.06206947,84
ANAPC7,1.80E-05,0.097083548,6.221849402,6.31893295,0.064000846,93
MBD1,2.42E-05,0.09708306,6.589627885,6.686710944,0.058569531,125
RWDD2B,4.64E-06,0.097075187,4.418295834,4.515371022,0.073777022,24
ZNF277,2.57E-05,0.097040156,6.667990894,6.76503105,0.068310286,133
COX20,4.59E-05,0.097031583,7.316807067,7.413838651,0.0613045,237
TMEM131L,3.46E-05,0.09702851,7.00657599,7.1036045,0.052437237,179
LINC00115,4.84E-06,0.09699609,4.48385619,4.58085228,0.072791617,25
CFAP97,2.59E-05,0.096955147,6.676054396,6.773009543,0.062016649,134
SRSF6,0.000107024,0.096916139,8.072492995,8.169409134,0.046066017,553
SLC30A5,1.76E-05,0.096905031,6.20548942,6.302394451,0.060287454,91
TPP2,4.37E-05,0.096904286,7.262041947,7.358946233,0.060692036,226
DLG4,5.61E-06,0.09688256,4.694019357,4.790901918,0.076436263,29
PPP6C,3.91E-05,0.096876663,7.150640567,7.24751723,0.055868415,202
PRPF8,6.81E-05,0.096851327,7.698084042,7.794935369,0.052547654,352
PYCR3,2.90E-06,0.096830075,3.773557262,3.870387337,0.072922342,15
AC109826.1,2.90E-06,0.096830075,3.773557262,3.870387337,0.066875665,15
CAMSAP2,5.03E-06,0.096821284,4.546593564,4.643414848,0.070398518,26
HECTD4,1.90E-05,0.096725792,6.308587395,6.405313187,0.060918338,98
EIF1B,0.000101412,0.09671366,8.021606133,8.118319793,0.048873815,524
DHRS7,8.88E-05,0.096682188,7.917271968,8.013954156,0.049991933,459
OTUD4,2.44E-05,0.09667941,6.600218217,6.696897627,0.065897773,126
WAC,0.000119798,0.096661324,8.134870524,8.231531848,0.042052102,619
POLR1B,5.03E-06,0.096632736,4.546593564,4.6432263,0.063587147,26
TATDN3,1.51E-05,0.096574357,6.019313918,6.115888274,0.060789976,78
DDX10,2.11E-05,0.096571926,6.442406572,6.538978499,0.059989399,109
CAD,7.35E-06,0.09656827,5.070167316,5.166735586,0.067860321,38
TRMT6,2.17E-05,0.096461548,6.472446217,6.568907764,0.057306312,112
ATP5F1D,0.000227403,0.096434361,8.498596986,8.595031346,0.036703272,1175
ACSS2,1.65E-05,0.096422039,6.127037995,6.223460034,0.065105589,85
XRCC1,1.57E-05,0.096419303,6.064977626,6.16139693,0.061101802,81
NUCB1,8.63E-05,0.09641258,7.892043735,7.988456315,0.051470523,446
SNHG19,1.39E-05,0.096410112,5.898955904,5.995366017,0.061587238,72
SIPA1L2,4.84E-06,0.09639218,4.48385619,4.58024837,0.076384438,25
TUT1,8.52E-06,0.09635475,5.277613437,5.373968187,0.064806263,44
ANGEL2,2.15E-05,0.09633619,6.463290754,6.559626944,0.063080704,111
VRK1,1.63E-05,0.096335125,6.121425905,6.21776103,0.063943106,84
NDUFA11,0.000153086,0.096251601,8.306297122,8.402548723,0.036361503,791
RNF5,3.04E-05,0.09619314,6.858128233,6.954321373,0.068837069,157
GMPR2,3.08E-05,0.096188142,6.877133191,6.973321333,0.064721309,159
TCP1,7.82E-05,0.096181,7.824801653,7.920982652,0.045801734,404
HIST1H4E,5.03E-06,0.096153846,4.546593564,4.64274741,0.06561047,26
ZFYVE28,1.03E-05,0.096111788,5.50150536,5.597617148,0.078612341,53
ERP44,6.97E-05,0.096064702,7.715568991,7.811633693,0.053778946,360
TIMM23,8.13E-06,0.096064446,5.201841232,5.297905679,0.06664682,42
GTF2A1,1.99E-05,0.096042045,6.353833901,6.449875946,0.0692465,103
CTCF,4.90E-05,0.096025987,7.381002418,7.477028405,0.057084136,253
C17orf97,2.90E-06,0.096,3.773557262,3.869557262,0.062765879,15
ZNF461,2.90E-06,0.096,3.773557262,3.869557262,0.065537097,15
CSPP1,1.65E-05,0.095882104,6.118156966,6.21403907,0.064163494,85
ACCS,6.58E-06,0.095870853,4.910992253,5.006863106,0.069169149,34
UBE2E3,4.22E-05,0.095868087,7.23197399,7.327842077,0.056178531,218
PARP2,5.03E-06,0.095863505,4.546593564,4.642457069,0.070431741,26
KLF5,5.03E-06,0.095863505,4.546593564,4.642457069,0.067650522,26
MAP4K5,1.90E-05,0.095860725,6.308587395,6.40444812,0.068803573,98
CD320,1.72E-05,0.095842459,6.175116717,6.270959176,0.060416968,89
SLC37A2,1.18E-05,0.095762651,5.688853936,5.784616587,0.068612488,61
RAB2A,9.13E-05,0.09573734,7.9561033,8.05184064,0.047741233,472
RFWD3,9.10E-06,0.095728043,5.341822894,5.437550937,0.07849483,47
PARP12,2.38E-05,0.095699291,6.578653631,6.674352922,0.060374533,123
CLPTM1L,4.12E-05,0.095644017,7.211583226,7.307227243,0.055932315,213
SRP14,0.00038223,0.095617066,8.689590761,8.785207826,0.02450088,1975
MCUB,8.79E-05,0.095575063,7.911184144,8.006759207,0.047847395,454
ZNF316,2.46E-05,0.095560188,6.624396006,6.719956193,0.057884281,127
RHOT1,3.58E-05,0.0955522,7.048764096,7.144316296,0.065734482,185
FH,2.50E-05,0.095529536,6.642934426,6.738463962,0.066011248,129
ARL3,1.68E-05,0.095469639,6.158404559,6.253874198,0.061081493,87
SNX1,3.64E-05,0.095450074,7.064487971,7.159938046,0.058014583,188
MYCBP,1.95E-05,0.095445545,6.333905666,6.42935121,0.057719933,101
SPNS1,3.54E-05,0.095422503,7.036058103,7.131480606,0.061463133,183
PTOV1,2.13E-05,0.095399695,6.447224373,6.542624067,0.070222915,110
AC012645.3,4.84E-06,0.09539609,4.48385619,4.57925228,0.073689444,25
CPSF3,2.15E-05,0.095355634,6.474507983,6.569863617,0.055249553,111
ULK4,5.03E-06,0.095282822,4.546593564,4.641876386,0.062490424,26
PSMD10,1.45E-05,0.09526127,5.962152024,6.057413293,0.069478769,75
KLHL24,4.95E-05,0.095109695,7.387133387,7.482243082,0.061775615,256
FYTTD1,3.81E-05,0.095082234,7.119545634,7.214627869,0.060056228,197
CHM,1.70E-05,0.095066575,6.178126079,6.273192654,0.061388149,88
CHORDC1,3.31E-05,0.095062447,6.968993524,7.064055971,0.060913981,171
AGAP2,9.87E-06,0.095042311,5.476346911,5.571389222,0.061457901,51
LRRC41,2.21E-05,0.095037481,6.48631304,6.581350521,0.058484751,114
EBAG9,2.21E-05,0.095031179,6.48631304,6.581344219,0.065408323,114
TIGD7,3.10E-06,0.095,3.875,3.97,0.058949131,16
WNT10A,3.10E-06,0.095,3.875,3.97,0.056236109,16
FICD,3.10E-06,0.095,3.875,3.97,0.061542668,16
GEMIN2,9.68E-06,0.09498827,5.44385619,5.53884446,0.068118945,50
DYNC2LI1,4.64E-06,0.094983708,4.418295834,4.513279542,0.078940051,24
SEC22C,2.03E-05,0.094982086,6.399773613,6.494755699,0.057152806,105
NLRP1,8.48E-05,0.094949716,7.875639101,7.970588817,0.044946907,438
CHURC1,7.18E-05,0.094935161,7.744785756,7.839720917,0.051413815,371
CD59,9.48E-06,0.094919622,5.410628211,5.505547833,0.06375921,49
ERLIN2,1.39E-05,0.094870512,5.909440453,6.004310965,0.064095256,72
TES,5.63E-05,0.094816115,7.526288606,7.621104721,0.05665665,291
MRPL16,3.43E-05,0.09479177,7.002833446,7.097625216,0.054696543,177
NOA1,2.54E-05,0.094788341,6.658465631,6.753253972,0.070135628,131
GSS,1.97E-05,0.094740728,6.351298994,6.446039722,0.064762442,102
HELQ,1.14E-05,0.094722568,5.645354914,5.740077482,0.069063765,59
RAB14,6.58E-05,0.094699813,7.667643648,7.762343461,0.048360009,340
AC007686.3,2.90E-06,0.094666667,3.773557262,3.868223929,0.06611774,15
ARIH2,3.21E-05,0.094659808,6.936756977,7.031416784,0.060046979,166
NR3C1,9.00E-05,0.094648542,7.934146765,8.028795307,0.053146517,465
AC083798.2,8.32E-06,0.094641727,5.22266272,5.317304447,0.071715727,43
MLLT10,3.48E-05,0.094623099,7.019522263,7.114145362,0.058908192,180
NOMO3,5.03E-06,0.094615385,4.546593564,4.641208949,0.06139888,26
SLC25A36,5.92E-05,0.094607869,7.570942194,7.665550063,0.048139329,306
LPCAT1,3.64E-05,0.094568057,7.075126269,7.169694326,0.054988747,188
NCOR1,0.000129668,0.094552569,8.201464276,8.296016845,0.046528876,670
MTRNR2L10,3.10E-06,0.094528195,3.875,3.969528195,0.058242007,16
BTN3A2,7.22E-05,0.094486502,7.753641129,7.848127631,0.055502865,373
ATM,0.000139345,0.094465605,8.240255955,8.334721559,0.042212459,720
SPIDR,1.94E-05,0.094408365,6.321209565,6.415617929,0.062484169,100
TRAPPC5,6.58E-06,0.094406015,4.910992253,5.005398268,0.062184461,34
TBL3,1.39E-05,0.094377524,5.919925001,6.014302525,0.063748518,72
GLUD1,5.28E-05,0.094365718,7.458476864,7.552842583,0.059748289,273
MRPL12,3.17E-05,0.094357637,6.913924642,7.008282278,0.064473256,164
DCTN1,2.65E-05,0.094355218,6.709096225,6.803451444,0.066678125,137
CEACAM4,1.10E-05,0.094340525,5.622363698,5.716704223,0.068089415,57
ALKBH6,9.68E-06,0.094331427,5.44385619,5.538187617,0.065190977,50
ZNF383,8.32E-06,0.094295506,5.240218243,5.334513749,0.061014273,43
SNX6,0.000100057,0.094272905,8.019895011,8.114167916,0.043782823,517
DFFA,2.24E-05,0.094220165,6.506645758,6.600865923,0.062411353,116
SNW1,6.75E-05,0.094208437,7.684995789,7.779204226,0.050999249,349
PDGFD,2.90E-06,0.094163408,3.773557262,3.867720671,0.073969104,15
DRG1,2.28E-05,0.0941613,6.530865295,6.625026595,0.073438436,118
DNAJA4,8.13E-06,0.09409667,5.201841232,5.295937902,0.062684353,42
USP48,4.92E-05,0.094088273,7.387235254,7.481323527,0.054777863,254
SIKE1,2.44E-05,0.094078163,6.622082404,6.716160567,0.062289979,126
ZCCHC3,1.32E-05,0.094076869,5.841067437,5.935144306,0.069056453,68
HSD17B12,2.46E-05,0.094046763,6.620535966,6.714582729,0.057814572,127
5-Mar,2.19E-05,0.094037919,6.477215356,6.571253275,0.06390416,113
DONSON,5.03E-06,0.094034702,4.546593564,4.640628266,0.064061743,26
MAZ,9.95E-05,0.094015627,8.008102156,8.102117784,0.049248795,514
CCT8,8.83E-05,0.094000851,7.919340048,8.013340899,0.048969182,456
IL10RB,9.48E-06,0.09399527,5.410628211,5.504623481,0.06276412,49
ARPC1A,3.62E-05,0.093950364,7.060831075,7.154781439,0.060285668,187
ATP8B2,1.61E-05,0.093937861,6.09178913,6.185726992,0.067812778,83
GPSM3,0.000290108,0.093871637,8.600019194,8.693890831,0.030582635,1499
RNF170,1.74E-05,0.093816337,6.194576569,6.288392905,0.074371393,90
MROH1,2.46E-05,0.09377017,6.608647974,6.702418144,0.066841925,127
NOC3L,1.32E-05,0.093764267,5.841067437,5.934831703,0.062565769,68
TBC1D8,6.58E-06,0.093739937,4.910992253,5.004732191,0.064849597,34
TTC39C,5.15E-05,0.093721398,7.438691201,7.532412599,0.052894284,266
SLC25A37,6.12E-05,0.093713894,7.606369474,7.700083368,0.053356852,316
CTDSP1,7.88E-05,0.093669582,7.819592579,7.913262161,0.050310875,407
ATF7,2.36E-05,0.093664435,6.5700816,6.663746035,0.059226601,122
AL022238.2,2.90E-06,0.09366015,3.773557262,3.867217412,0.083746649,15
USP46,6.77E-06,0.09356305,4.957854446,5.051417496,0.065465966,35
CRK,3.52E-05,0.093554242,7.030355888,7.123910129,0.062207019,182
CTNNBIP1,2.36E-05,0.093458353,6.567912235,6.661370588,0.060508451,122
AC078846.1,4.64E-06,0.093427318,4.418295834,4.511723152,0.070599835,24
TTC13,1.51E-05,0.0933422,6.028991962,6.122334163,0.064802061,78
SUMO4,4.84E-06,0.093298045,4.48385619,4.577154235,0.064937703,25
KLF8,3.10E-06,0.093278195,3.875,3.968278195,0.070944622,16
AC005523.2,3.10E-06,0.093278195,3.875,3.968278195,0.066393821,16
CLDND2,3.10E-06,0.093278195,3.875,3.968278195,0.069559978,16
PLPP1,3.10E-06,0.093278195,3.875,3.968278195,0.061507231,16
SNX33,3.10E-06,0.093278195,3.875,3.968278195,0.070944622,16
CEP68,1.53E-05,0.093258595,6.031505115,6.12476371,0.070070868,79
AIMP1,7.10E-05,0.093257424,7.73563914,7.828896563,0.058752361,367
DHRS12,9.87E-06,0.093221877,5.476346911,5.569568788,0.058806292,51
DUT,8.03E-05,0.09310112,7.834487007,7.927588127,0.052222683,415
ORMDL3,1.63E-05,0.093079847,6.112439149,6.205518996,0.066030333,84
LSS,5.03E-06,0.09297513,4.546593564,4.639568694,0.070437027,26
AL691432.2,6.58E-06,0.092863335,4.910992253,5.003855588,0.074226095,34
FANCA,6.77E-06,0.092851557,4.957854446,5.050706003,0.06804182,35
MMS19,1.37E-05,0.092751467,5.892498352,5.985249818,0.062221624,71
UTP14C,6.97E-06,0.09270426,5.003258335,5.095962595,0.058590522,36
MAK16,6.97E-06,0.092630743,5.003258335,5.095889078,0.067723781,36
SLC27A1,1.65E-05,0.092607374,6.118156966,6.21076434,0.058863763,85
SEPHS1,1.18E-05,0.092600516,5.701229141,5.793829657,0.061062377,61
CHCHD3,2.44E-05,0.092523546,6.610100062,6.702623608,0.061134773,126
TRAPPC6A,5.38E-05,0.09250498,7.477862262,7.570367242,0.057814956,278
CBX3,0.000115733,0.092504248,8.120112651,8.212616899,0.043414405,598
FAM133B,0.000184051,0.092490591,8.402682069,8.49517266,0.034101679,951
PDE12,2.05E-05,0.092475036,6.400044157,6.492519193,0.0625639,106
CAB39,5.65E-05,0.092473256,7.519660722,7.612133977,0.059716486,292
FBXL6,1.12E-05,0.092435575,5.638069142,5.730504717,0.063721918,58
PPP2R5E,5.40E-05,0.092427792,7.485132312,7.577560104,0.05723384,279
SSR2,0.000251401,0.092411633,8.544501924,8.636913558,0.033191334,1299
PSMB2,7.43E-05,0.092378355,7.776736264,7.869114619,0.055604917,384
NXT1,3.91E-05,0.092367401,7.15549428,7.247861681,0.054955311,202
P2RY8,4.22E-05,0.092345312,7.23018335,7.322528662,0.058571324,218
LINC01094,2.71E-06,0.092317937,3.664497779,3.756815717,0.078424022,14
COPG2,4.84E-06,0.092286315,4.48385619,4.576142505,0.087165791,25
CSNK2A1,5.46E-05,0.092272646,7.481873969,7.574146615,0.055869703,282
MBNL1-AS1,5.23E-06,0.092214981,4.606739354,4.698954335,0.054607507,27
SET,0.000246563,0.092209245,8.536740614,8.628949859,0.027971823,1274
NDUFAF3,6.29E-05,0.092191232,7.621812043,7.714003275,0.048958991,325
PCGF1,7.16E-06,0.092156878,5.047291203,5.139448082,0.058382276,37
HNRNPH3,0.000115927,0.0921541,8.126961358,8.219115458,0.050193559,599
ERP29,0.000285463,0.092110707,8.597932419,8.690043126,0.029032226,1475
PNMA1,9.48E-06,0.09208286,5.410628211,5.502711071,0.06716558,49
NSDHL,5.42E-06,0.092048335,4.664497779,4.756546114,0.065414068,28
NME8,5.42E-06,0.092040826,4.637537511,4.729578337,0.072478566,28
FAM8A1,9.68E-06,0.092033088,5.42875844,5.520791527,0.064760281,50
CIP2A,3.10E-06,0.092028195,3.875,3.967028195,0.064583453,16
